Latitude,Longitude,Route Number,Type,Crash Severity,Incident Date,Road Name,Score
38.01395,-78.396578,250,Arrest,,9/4/2011,3000 RICHMOND RD,0.016825849
37.954258,-78.529449,20,Arrest,,11/10/2016,3000 SCOTTSVILLE RD,0.030377569
38.119643,-78.448701,29,Arrest,,2/15/2014,3000 SEMINOLE TR,0.012304447
38.05096,-78.552151,250,Arrest,,6/25/2016,3000 IVY RD,0.016825849
38.097047,-78.458073,29,Arrest,,1/31/2015,300 MONACAN TR,0.012304447
38.047,-78.470037,631,Arrest,,8/29/2010,300 E RIO RD,0.022779613
38.03928,-78.469878,29,Arrest,,3/30/2013,300 29/250 BYPASS,0.012304447
37.90636,-78.543597,20,Arrest,,1/1/2016,3100 SCOTTSVILL RD,0.030377569
37.925637,-78.612204,631,Arrest,,9/2/2013,3100 OLD LYNCHBURG RD,0.022779613
37.949944,-78.401708,729,Arrest,,3/25/2012,3100 BUCK ISLAND RD,0.011018371
37.90636,-78.543597,20,Arrest,,9/25/2010,3100 SCOTTSVILLE RD,0.030377569
37.948818,-78.534028,20,Arrest,,1/16/2013,3200 SCOTTSVILLE RD,0.030377569
38.124326,-78.44432,29,Arrest,,1/21/2016,3300 SEMINOLE TR,0.012304447
37.946643,-78.535058,20,Arrest,,6/27/2013,3300 SCOTTSVILLE RD,0.030377569
37.923097,-78.620916,631,Arrest,,1/29/2016,3300 OLD LYNCHBURG RD,0.022779613
38.054051,-78.567015,250,Arrest,,12/31/2012,3400 IVY RD,0.016825849
38.127805,-78.446168,29,Arrest,,9/22/2015,3400 SEMINOLE TR,0.012304447
38.129016,-78.548888,601,Arrest,,12/19/2012,3400 FREE UNION RD,0.017077528
37.962259,-78.651731,29,Arrest,,11/13/2016,3400 MONACAN TR RD,0.012304447
38.127805,-78.446168,29,Arrest,,4/15/2015,3400 SEMINOLE TR,0.012304447
38.127805,-78.446168,29,Arrest,,7/16/2013,3400 SEMINOLE TR,0.012304447
38.096661,-78.462488,29,Arrest,,12/9/2015,3500 MONACAN TR,0.012304447
38.132424,-78.435346,29,Arrest,,8/31/2014,3500 SEMINOLE TR @ AIRPORT ACRES,0.012304447
37.916305,-78.631865,692,Arrest,,8/26/2012,3500 PLANK RD,0.022813036
37.941025,-78.467325,795,Arrest,,12/18/2011,3500 PRESIDENTS RD,0.027658537
38.132424,-78.435346,29,Arrest,,2/27/2010,3500 SEMINOLE TR,0.012304447
38.00908,-78.378405,250,Arrest,,3/13/2015,3500 RICHMOND RD,0.016825849
38.134803,-78.433357,29,Arrest,,3/5/2010,3600 SEMINOLE TR,0.012304447
37.918651,-78.635082,692,Arrest,,7/31/2015,3600 PLANK RD,0.022813036
37.918651,-78.635082,692,Arrest,,6/25/2011,3600 PLANK RD,0.022813036
38.134803,-78.433357,29,Arrest,,10/9/2010,3600 SEMINOLE TRAIL,0.012304447
38.055357,-78.571682,250,Arrest,,3/6/2013,3600 IVY RD,0.016825849
38.10607,-78.380476,20,Arrest,,3/13/2011,3600 STONY POINT RD,0.030377569
38.138265,-78.431818,29,Arrest,,2/18/2012,3700 SEMINOLE TR,0.012304447
38.143981,-78.467661,743,Arrest,,10/4/2010,3700 EARLYSVILLE RD,0.014030319
38.108164,-78.375573,20,Arrest,,12/13/2010,3700 STONY POINT RD,0.030377569
38.108164,-78.375573,20,Arrest,,11/2/2015,3700 STONY POINT RD,0.030377569
38.007051,-78.371523,250,Arrest,,11/6/2016,3700 RICHMOND RD,0.016825849
37.952421,-78.66222,29,Arrest,,10/16/2010,3700 MONACAN TRAIL,0.012304447
38.09698,-78.457083,29,Arrest,,7/28/2013,3700 MONACAN TR,0.012304447
37.935,-78.470309,795,Arrest,,5/25/2014,3700 PRESIDENTS RD,0.027658537
38.108164,-78.375573,20,Arrest,,12/4/2011,3700 STONY POINT RD,0.030377569
37.906894,-78.5432,20,Arrest,,9/15/2012,3800 SCOTTSVILLE RD,0.030377569
38.110702,-78.622464,601,Arrest,,3/10/2011,3800 GARTH RD,0.017077528
38.143443,-78.428625,29,Arrest,,12/7/2014,3900 SEMINOLE TR,0.012304447
