Route.Number,Seg.Number,Latitude,Longitude,Incident.Date,Time,Day,Road.Name,Crash.Severity,Direction,Light.Condition,Roadway.Type,Surface.Type,Type,Density.Score,DD.Check.Score,Seg.Density.Score,Seg.DD.Check.Score,Den.Top20Rt,Den.Top50Seg,DD.Top20Rt,DD.Top50Seg
631,654,38.066991,-78.466321,12/26/2010,1:36:00 PM,Thu,1100 E RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
6,3,37.810999,-78.540899,8/4/2015,12:00:00 AM,Wed,1100 IRISH RD,,,,,,Arrest,0.022074779,0.226484018,0.002,0.014611872,Yes,No,Yes,No
628,644,38.219402,-78.518321,3/5/2011,12:00:00 AM,Thu,1100 SIMMONS GAP RD,,,,,,Arrest,0.038095238,0.058447489,0.038095238,0.058447489,No,Yes,No,Yes
601,500,38.078349,-78.535849,11/2/2010,12:00:00 AM,Mon,1100 GARTH RD,,,,,,Arrest,0.017077528,0.306849315,0.000895522,0.043835616,Yes,Yes,Yes,No
1113,1687,38.005385,-78.514911,9/4/2015,12:00:00 AM,Wed,1100 OAK HILL DR,,,,,,Arrest,0.002207792,0.014611872,0,0.014611872,No,No,No,No
631,654,38.01713,-78.497806,10/9/2010,12:00:00 AM,Mon,1100 5TH ST,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
29,114,38.066721,-78.487546,5/21/2010,3:49:00 PM,Sat,1100 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.0005,0.043835616,Yes,No,Yes,No
631,654,38.01713,-78.497806,2/20/2010,12:00:00 AM,Fri,1100 5TH ST,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
53,219,38.001184,-78.450757,9/27/2014,12:00:00 AM,Fri,1100 THOMAS JEFFERSON PKWY,,,,,,Arrest,0.008475812,0.4456621,0.001235955,0.080365297,No,Yes,Yes,Yes
29,114,38.066721,-78.487546,7/8/2010,12:00:00 AM,Sun,1100 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.0005,0.043835616,Yes,No,Yes,No
631,654,38.005364,-78.516656,2/5/2012,12:00:00 AM,Thu,1100 5TH ST EXT,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
1213,1874,38.00824,-78.527153,9/29/2013,12:00:00 AM,Sun,1100 SUNSET AVE EXT,,,,,,Arrest,0.038461538,0.073059361,0.038461538,0.073059361,No,Yes,No,Yes
631,654,38.009132,-78.506396,3/18/2014,12:00:00 AM,Wed,1200 5TH ST EXT,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
29,118,38.069366,-78.485212,12/10/2010,12:00:00 AM,Tue,1200 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
631,654,38.06909,-78.467711,1/29/2010,12:00:00 AM,Sun,1200 E RIO RD,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
631,654,38.009445,-78.507211,9/2/2012,12:00:00 AM,Mon,1200 5TH ST,,,,,,Arrest,0.022779613,1.234703196,0.029545455,0.474885845,Yes,No,Yes,Yes
20,31,38.034003,-78.455001,3/10/2011,12:00:00 AM,Tue,1200 STONY PT RD,,,,,,Arrest,0.030377569,1.56347032,0.000645161,0.029223744,Yes,No,Yes,No
29,118,38.069366,-78.485212,4/10/2010,12:00:00 AM,Tue,1200 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
29,118,38.069366,-78.485212,9/6/2010,12:00:00 AM,Fri,1200 SEMINOLE TR,,,,,,Arrest,0.012304447,2.527853881,0.003666667,0.321461187,Yes,Yes,Yes,Yes
1112,1685,38.006853,-78.524056,12/15/2015,12:00:00 AM,Sun,1200 VILLA LN,,,,,,Arrest,0.003,0.021917808,0.002,0.014611872,No,No,No,No
601,500,38.079254,-78.537735,3/13/2014,12:00:00 AM,Fri,1200 GARTH RD,,,,,,Arrest,0.017077528,0.306849315,0.000895522,0.043835616,Yes,Yes,Yes,No
729,1231,37.995636,-78.436051,1/23/2012,11:00:00 PM,Mon,1200 MILTON RD,,,,,,Arrest,0.011018371,0.226484018,0.001666667,0.014611872,Yes,No,Yes,No
